30841,A. 史沫特萊
30857,A. 托羅布尼可娃
30822,A. 梭福羅諾夫
25729,A.A. Milne
17603,A.B.C.中國內衣公司
22854,A.C. Cronin
24332,A.E. Coppard
29917,A.K. 尤特金
25841,A.L. Barbaula
39111,A.R.女士
19665,A.克郎費爾
43667,Abbé Prévost
11543,ABC中國內衣公司
6132,ABC內衣公司
46358,Abelard
41021,Achsah Barlow Brewster
24321,Ada Clpham Govan
17368,Adamr Jane
34654,"Adams, Maude"
46752,Adelbeid Popp
47833,Adelo Schreiber
27218,Adolph Erss
37919,Adrienne Ames
27069,Adward W. Bok.
47730,Aernout van der Neer
46579,Aether
28628,"Afinogenov, Alexander"
29742,Agnes E Meger
41520,Agnes Maude Royden 羅騰
47440,Agnes Smedley
38228,Anita Pomares
42587,Ann Dvorak 拉芙第恩
8124,Ann Veronica LaHiff
9187,"Barrymore, John"
8115,"Barrymore, Lionel"
45576,"Barsamova, Nina"
40149,"Barthelmess, Richard"
40149,"Barthelmess, Richard Semler ""Dick"""
13734,bartolommeo
30876,Zee Shih Yin
41943,Zeng Wangshi
40640,Zhong Chiyi
33649,"Zoshchenko, Michael"
33649,"Zoshchenko, Mikhail"
28628,Алекса́ндр Никола́евич Афиноге́нов
12127,Великая Княжна Анастасия Николаевна
12098,Великая Княжна Мария Николаевна
12121,Великая Княжна Ольга Николаевна
12123,Великая Княжна Татьяна Николаевна
42105,Ио́сиф Виссарио́нович Ста́лин
33649,Михаи́л Миха́йлович Зо́щенко
30822,"Софрoнов, Анатоoлий Владимирович"
42248,Фёдор Михайлович Достоевский
7075,一五一公司
44890,丁上左
37871,丁世英
44652,丁仲祜
6931,丁仲英
23409,丁伯安
36128,丁初我
287,丁悚
1794,上海五洲大藥房
3000,中華書局
261,丹翁
3857,何家幹
11517,前人
3013,包公毅
3013,包天笑
3857,周樹人
2888,商務印書館
1131,小梅
5772,尤懷皋
261,張丹翁
261,張康
261,張延禮
18657,新華信托儲蓄銀行
2543,晶報館
22194,曹孟君
857,李涵秋
1131,梅畹華
1131,梅羣子
1131,梅蘭芳
1642,汪精衛
11873,生活書店
692,蔣中正
2165,袁世凱
2158,袁寒雲
10147,韋廉士醫生藥局
3857,魯迅
